Ide,Expl,Lesiones,Localizacion,Lesiones_TB,Patron_lesiones,Score_lesional,PIROPLASMA,THEILERIA,ANAPLASMA,VITAMINA_D,CALCIO,PIROPLASMA_Q,EDAD,SEXO,RAZA,IDTC,PIROPLASMA_Q_log,RAZA2,Patron_lesiones_3
219743218,VC30D,Lesão caseosa,Pulmonar + linfodonos retrofaríngeos,1,1,4,1.0,0.0,0.0,30.095327,0.92587008,4386.325854,3,F,Cruzado,23,8.386475175590386,Cruzado,1
19141978,VC30D,Não apresentava lesões,Sem lesão,0,-1,0,1.0,1.0,1.0,28.80980487,0.925329711,5121.251766,4,F,Cruzado,6,8.541349419397614,Cruzado,-1
419913399,VC30D,Lesão,Linfonodos retrofaríngeos,1,0,1,0.0,0.0,1.0,16.12451703,0.916724423,0.0,3,F,Cruzado,18,0.0,Cruzado,0
314429794,VC30D,Lesão caseosa,Linfonodos mediastinicos,1,0,2,1.0,0.0,1.0,25.56130734,0.907462712,3869.100402,11,F,Cruzado,23,8.261035729356546,Cruzado,0
17717137,VC30D,Não apresentava lesões,Sem lesão,0,-1,0,1.0,0.0,1.0,17.30227352,0.943349699,5775.378886,6,F,Cruzado,13,8.661532275027946,Cruzado,-1
719743225,VC30D,Não apresentava lesões,Sem lesão,0,-1,0,1.0,1.0,1.0,48.02582612,0.944695838,1448.939824,3,F,Cruzado,7,7.279277333863788,Cruzado,-1
817745858,VC30D,Lesão,Linfonodos retrofaríngeos,1,0,1,1.0,1.0,1.0,16.81240338,0.93743571,1392.702508,6,F,Cruzado,6,7.239719159650285,Cruzado,0
119648207,VC30D,Lesão,Linfonodos retrofaríngeos,1,0,1,0.0,0.0,0.0,30.97222733,0.915380037,0.0,3,F,Alentejana,6,0.0,Alentejana,0
218482590,VC30D,Lesão,Linfonodos retrofaríngeos,1,0,1,1.0,0.0,0.0,27.11073867,0.929903313,17152.95305,9,F,Cruzado,8,9.749983924575652,Cruzado,0
519144252,VC30D,Não apresentava lesões,Sem lesão,0,-1,0,1.0,0.0,0.0,22.1153494,0.910537253,3467.545513,4,F,Cruzado,5,8.151490624549847,Cruzado,-1
217841428,VC30D,Não apresentava lesões,Sem lesão,0,-1,0,1.0,0.0,1.0,25.70068836,0.948513045,7058.8544,1,F,Cruzado,6,8.862179707045165,Cruzado,-1
18487848,VC30D,Lesão,Linfonodos retrofaríngeos,1,0,1,1.0,0.0,0.0,19.10875823,0.901424759,8853.358347,5,F,Cruzado,21,9.088665085366689,Cruzado,0
714430403,VC30D,Não apresentava lesões,Sem lesão,0,-1,0,1.0,1.0,1.0,32.20735286,0.921046211,2220.647511,12,F,Cruzado,6,7.706004321701976,Cruzado,-1
415219709,VC30D,Não apresentava lesões,Sem lesão,0,-1,0,1.0,0.0,1.0,19.16078564,0.901424759,1658.125303,11,F,Cruzado,8,7.4140458165727345,Cruzado,-1
